Date Opened,Tail,Description,Date Closed,Task Cost,Total Time
2016-11-22,WMU56 N91SA,  Left Position light out,2016-11-29,60.30,750.57
2016-06-25,WMU56 N91SA,  RH White Position Light Inop,2016-06-27,82.80,582.85
2015-10-23,WMU56 N91SA,  L position light inop,2015-10-27,57.96,328.73
2015-10-21,WMU56 N91SA,  RH Nav Light inop,2015-10-21,120.9,327.93
2015-06-04,WMU56 N91SA,  Left and right strobe light out,2015-06-09,629.7,148.71
2015-06-01,WMU56 N91SA,  RH white aft nav light out,2015-06-02,97.80,138.61
2015-05-28,WMU56 N91SA,  R nav light out,2015-05-29,60.30,135.51
2015-05-06,WMU56 N91SA,  RH wing white position light inop.,2015-05-13,142.4,101.11
2014-05-12,WMU56 N91SA,  Left white position light inop.,2014-05-12,77.10,717.61
2014-05-08,WMU56 N91SA,  rh white nav light out,2014-05-08,50.95,707.11
2014-05-06,WMU56 N91SA,  RH strobe and white position light inop.,2014-05-08,641.3,698.31
2014-01-13,WMU56 N91SA,  Left wingtip position light out,2014-01-13,52.80,560.91
2013-09-04,WMU56 N91SA,  Left aft nav light burnt out,2013-09-05,97.80,392.41
2013-06-14,WMU56 N91SA,  LH NAV LIGHT,2013-06-17,81.79,292.71
2013-02-20,WMU56 N91SA,  Left white nav out,2013-02-22,60.30,140.11
2012-03-26,WMU56 N91SA,  Right white position light inop.,2012-03-26,119.5,805.78
2012-01-18,WMU56 N91SA,  RH nav light inop.,2012-01-20,95.48,734.37
2010-07-14,WMU56 N91SA,  left marker light inop,2010-07-14,50.98,237.72
2010-03-30,WMU56 N91SA,  RHR POS LIGHT INOP,2010-03-30,64.59,018.92
2009-01-20,WMU56 N91SA,  R Nav light out,2009-01-21,51.60,365.81
2021-11-09,WMU58 N173WM,  R NAV light inop,2021-11-10,79.49,3616.3
2021-10-29,WMU58 N173WM,  RH white position light inop,2021-10-29,79.49,3595.8
2021-09-11,WMU58 N173WM,  l nav light out,2021-09-24,79.49,3510.9
2021-03-06,WMU58 N173WM,  LH position light inop and ailerons hard to move will not center,2021-03-09,"1,178",3197.8
2020-09-10,WMU58 N173WM,  LH white position bulb inop,2020-09-17,77.97,2953.0
2020-08-19,WMU58 N173WM,  Nav light out,2020-08-21,115.4,2912.0
2019-12-07,WMU58 N173WM,  LH white postion light inop,2019-12-10,74.54,2685.5
2018-09-13,WMU58 N173WM,  Left aft navigation light bulb is inoperative.,2018-09-13,52.80,2265.8
2018-02-12,WMU58 N173WM,  LH white nav light inop,2018-02-13,97.16,2118.6
